,Estado,Região,Preço médio
0,ACRE,NORTE,19.451
1,ALAGOAS,NORDESTE,15.369
2,AMAPA,NORTE,21.808
3,AMAZONAS,NORTE,20.866
4,BAHIA,NORDESTE,15.238
5,CEARA,NORDESTE,17.457
6,DISTRITO FEDERAL,CENTRO OESTE,17.239
7,ESPIRITO SANTO,SUDESTE,14.959
8,GOIAS,CENTRO OESTE,17.045
9,MARANHAO,NORDESTE,18.291
10,MATO GROSSO,CENTRO OESTE,22.364
11,MATO GROSSO DO SUL,CENTRO OESTE,17.522
12,MINAS GERAIS,SUDESTE,16.962
13,PARA,NORTE,20.842
14,PARAIBA,NORDESTE,15.817
15,PARANA,SUL,16.837
16,PERNAMBUCO,NORDESTE,17.882
17,PIAUI,NORDESTE,18.08
18,RIO DE JANEIRO,SUDESTE,14.633
19,RIO GRANDE DO NORTE,NORDESTE,15.164
20,RIO GRANDE DO SUL,SUL,16.456
21,RONDONIA,NORTE,19.588
22,RORAIMA,NORTE,19.842
23,SANTA CATARINA,SUL,15.705
24,SAO PAULO,SUDESTE,15.679
25,SERGIPE,NORDESTE,15.673
26,TOCANTINS,NORTE,18.867
